"","X","Name","Type","Longitude","Latitude","Address"
"191",191,"70 Punggol Central","Taxi Stand",103.902691834686,1.40487799979449,"70 Punggol Central, Singapore 828868"
"192",192,"10 Mount Elizabeth","Taxi Stand",103.835487279505,1.30436251736185,"10 Mount Elizabeth, Singapore 228510"
"193",193,"28 Cairnhill Rd","Taxi Stop",103.837644041351,1.30343433904631,"28 Cairnhill Rd, Singapore 229656"
"194",194,"270 Orchard Rd","Taxi Stand",103.836183172252,1.30379288599544,"270 Orchard Rd, Singapore 238857"
"195",195,"298 Orchard Rd","Taxi Stand",103.833800509718,1.30419408708756,"298 Orchard Rd, Singapore 238858"
"196",196,"8R4M+X8 Singapore","Taxi Stand",103.833348355776,1.30740800676454,"8R4M+X8 Singapore"
"197",197,"21 Mount Elizabeth","Taxi Pick Up / Drop Off",103.835594566941,1.30716132419524,"21 Mount Elizabeth, Singapore 228516"
"198",198,"Grange Rd","Taxi Pick Up / Drop Off",103.836823485375,1.30157395202474,"Grange Rd, 8, Singapore 239695"
"199",199,"Opp Ngee Ann City","Taxi Stand",103.834414375423,1.30230535961066,"Opp Ngee Ann City, Singapore"
"200",200,"313 Orchard Rd","Taxi Pick Up / Drop Off",103.835803737476,1.30202307273591,"313 Orchard Rd, Singapore 238895"
"201",201,"435 Orchard Rd","Taxi Stand",103.832870253637,1.30376588043313,"435 Orchard Rd, Singapore 238877"
"202",202,"115 Penang Rd","Taxi Stand",103.842393209283,1.29980452525638,"115 Penang Rd, Singapore"
"203",203,"18-16 Commonwealth Ave","Taxi Stand",103.806405933758,1.29452122945392,"18-16 Commonwealth Ave, Singapore"
"204",204,"500G Upper Bukit Timah Rd","Taxi Stop",103.767220478955,1.36254448874157,"500G Upper Bukit Timah Rd, Singapore 678107"
"205",205,"10 Cashew Rd","Taxi Stand",103.764150935194,1.3702772276046,"10 Cashew Rd, Cashew MRT Station (Downtown Line), Singapore 679692"
"206",206,"500 Upper Bukit Timah Rd","Taxi Stop",103.767620029352,1.36251590827091,"500 Upper Bukit Timah Rd, Singapore 678108"
"207",207,"15 Tampines Central 1","Taxi Stand",103.942607231238,1.35438636182536,"15 Tampines Central 1, Singapore"
"208",208,"896 Dunearn Road","Taxi Stand",103.78307109675,1.33632573588174,"896 Dunearn Road, #03-01, Sime Darby Centre Singapore 589472, Singapore"
"209",209,"21 Changi South Ave 1","Taxi Pick Up / Drop Off",103.961408466839,1.33403408069228,"21 Changi South Ave 1, Expo, Singapore"
"210",210,"72 Geylang Bahru","Taxi Stand",103.87115986358,1.3214668867636,"72 Geylang Bahru, Singapore 330072"
"211",211,"Bukit Timah Rd","Taxi Stop",103.783241783825,1.33577311464382,"Bukit Timah Rd, King Albert Park, Singapore"
"212",212,"Bedok Reservoir","Taxi Stand",103.93339493367,1.33660991950322,"Bedok Reservoir, Singapore"
"213",213,"8PQ4+8R Singapore","Taxi Stop",103.707115643348,1.33833458581428,"8PQ4+8R Singapore"
"214",214,"900 Upper Serangoon Rd","Taxi Stand",103.884589589286,1.35991042944906,"900 Upper Serangoon Rd, Kovan, Singapore 534799"
"215",215,"Bedok Reservoir","Taxi Stand",103.933042867331,1.33636113363836,"Bedok Reservoir, Singapore"
"216",216,"6 Expo Dr","Taxi Stand",103.960921846252,1.33593293507333,"6 Expo Dr, Singapore"
"217",217,"Tanah Merah Stn Exit B","Taxi Stop",103.945655745101,1.32727592055039,"Tanah Merah Stn Exit B, Singapore"
"218",218,"Opp Mattar Stn Exit B","Taxi Stop",103.883868214726,1.32587727915555,"Opp Mattar Stn Exit B, Singapore"
"219",219,"Opp Mattar Stn Exit A","Taxi Stop",103.883143375687,1.32741225239285,"Opp Mattar Stn Exit A, Singapore"
"220",220,"179 River Valley Rd","Taxi Stand",103.844195443999,1.2923008939361,"179 River Valley Rd, Singapore 179033"
"221",221,"170 River Valley Rd","Taxi Stand",103.844326810466,1.29286969838056,"170 River Valley Rd, Singapore 179038"
"222",222,"802 Tampines Ave 4","Taxi Stop",103.938271913685,1.34578087497921,"802 Tampines Ave 4, Singapore 520802"
"223",223,"Tampines West","Taxi Stop",103.939138008905,1.34490972153013,"Tampines West, Singapore"
"224",224,"50A Bencoolen St","Taxi Stand",103.850444549698,1.29913571451228,"50A Bencoolen St, Singapore 189629"
"225",225,"658 Jln Damai","Taxi Stand",103.909125666482,1.334738444694,"658 Jln Damai, Singapore 410663"
